y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
11,15,HI,Hawaii,49,67,2781
11,16,ID,Idaho,-1,-1,0
11,17,IL,Illinois,440,527,33774
11,18,IN,Indiana,100,121,4802
11,19,IA,Iowa,58,66,2607
11,20,KS,Kansas,48,60,2842
11,21,KY,Kentucky,77,92,3484
11,22,LA,Louisiana,115,141,5351
11,23,ME,Maine,59,78,5349
11,24,MD,Maryland,7186,11554,474939
11,25,MA,Massachusetts,576,673,40731
11,26,MI,Michigan,245,272,11893
11,27,MN,Minnesota,144,161,8787
11,28,MS,Mississippi,59,79,3404
11,29,MO,Missouri,127,150,7148
11,30,MT,Montana,27,33,1273
11,31,NE,Nebraska,35,39,1523
11,32,NV,Nevada,63,89,2389
11,33,NH,New Hampshire,63,69,3356
11,34,NJ,New Jersey,520,618,31753
11,35,NM,New Mexico,65,83,3478
11,36,NY,New York,1441,1746,129259
11,37,NC,North Carolina,549,724,32917
11,38,ND,North Dakota,-1,-1,0
11,39,OH,Ohio,277,322,15069
11,40,OK,Oklahoma,47,59,2509
11,41,OR,Oregon,89,98,4005
11,42,PA,Pennsylvania,704,815,38572
11,44,RI,Rhode Island,59,69,14343
11,45,SC,South Carolina,151,198,8427
11,46,SD,South Dakota,19,21,873
11,47,TN,Tennessee,147,195,7969
11,48,TX,Texas,695,984,36572
11,49,UT,Utah,59,82,7309
11,50,VT,Vermont,43,54,3400
11,51,VA,Virginia,4312,5536,322857
11,53,WA,Washington,184,215,10588
11,54,WV,West Virginia,73,93,4845
11,55,WI,Wisconsin,132,164,9654
11,56,WY,Wyoming,-1,-1,0
12,1,AL,Alabama,5329,10204,303897
12,2,AK,Alaska,703,1243,35908
12,4,AZ,Arizona,2493,4431,166316
12,5,AR,Arkansas,1202,2263,93334
12,6,CA,California,10239,18149,1162002
12,8,CO,Colorado,3720,6590,487532
12,9,CT,Connecticut,5800,10318,985402
12,10,DE,Delaware,1016,1791,55112
12,11,DC,District Of Columbia,671,949,90722
12,12,FL,FL Non-migrants,7246289,14640337,0
12,13,GA,Georgia,15742,30190,1003635
12,15,HI,Hawaii,1074,1922,52106
12,16,ID,Idaho,374,704,20431
12,17,IL,Illinois,8803,15338,1466396
12,18,IN,Indiana,5117,9082,392763
12,19,IA,Iowa,1141,2071,123967
12,20,KS,Kansas,1327,2494,114195
12,21,KY,Kentucky,3403,6182,246660
12,22,LA,Louisiana,2334,4323,246842
12,23,ME,Maine,1804,2993,159813
12,24,MD,Maryland,5875,10253,692993
12,25,MA,Massachusetts,7451,12715,750711
12,26,MI,Michigan,7449,12811,597318
12,27,MN,Minnesota,2653,4650,322304
12,28,MS,Mississippi,1825,3633,104765
12,29,MO,Missouri,3271,5820,280468
12,30,MT,Montana,369,639,17333
12,31,NE,Nebraska,804,1418,37316
12,32,NV,Nevada,1949,3317,203724
12,33,NH,New Hampshire,1909,3172,256845
12,34,NJ,New Jersey,12348,22202,1494652
12,35,NM,New Mexico,990,1768,51514
12,36,NY,New York,25996,44983,2620649
12,37,NC,North Carolina,9428,17351,567708
12,38,ND,North Dakota,423,764,24317
12,39,OH,Ohio,9056,15742,840774
12,40,OK,Oklahoma,1425,2715,124792
12,41,OR,Oregon,966,1619,58588
12,42,PA,Pennsylvania,10438,18180,1017451
12,44,RI,Rhode Island,1598,2820,220498
12,45,SC,South Carolina,4416,8079,239369
12,46,SD,South Dakota,485,849,44616
12,47,TN,Tennessee,5637,10352,337489
12,48,TX,Texas,23089,42521,992239
12,49,UT,Utah,772,1575,45449
12,50,VT,Vermont,850,1380,100882
12,51,VA,Virginia,8567,15835,734499
12,53,WA,Washington,2588,4598,163190
12,54,WV,West Virginia,1232,2167,70207
12,55,WI,Wisconsin,3048,5349,412421
12,56,WY,Wyoming,426,752,18801
13,1,AL,Alabama,6655,13258,254092
13,2,AK,Alaska,368,823,14978
13,4,AZ,Arizona,1061,2139,53645
13,5,AR,Arkansas,580,1161,26895
13,6,CA,California,4998,9491,308613
13,8,CO,Colorado,1260,2553,71556
13,9,CT,Connecticut,915,1724,67797
13,10,DE,Delaware,279,515,11689
13,11,DC,District Of Columbia,354,513,24896
13,12,FL,Florida,15624,29784,692115
13,13,GA,GA Non-migrants,3266790,7430492,0
13,15,HI,Hawaii,567,1250,23827
13,16,ID,Idaho,144,298,5628
13,17,IL,Illinois,2816,5534,165275
13,18,IN,Indiana,1312,2604,58650
13,19,IA,Iowa,385,732,17016
13,20,KS,Kansas,685,1508,36959
13,21,KY,Kentucky,1284,2645,54003
13,22,LA,Louisiana,1598,3248,62682
13,23,ME,Maine,207,399,9651
13,24,MD,Maryland,1955,3743,113808
13,25,MA,Massachusetts,1057,1869,64204
13,26,MI,Michigan,2053,3873,94442
13,27,MN,Minnesota,646,1225,53718
13,28,MS,Mississippi,1459,2980,56907
13,29,MO,Missouri,1133,2223,55325
13,30,MT,Montana,117,208,4350
13,31,NE,Nebraska,264,527,11914
13,32,NV,Nevada,568,1104,22093
13,33,NH,New Hampshire,201,399,11593
13,34,NJ,New Jersey,2267,4433,132886
13,35,NM,New Mexico,355,719,15351
13,36,NY,New York,5693,10822,288417
13,37,NC,North Carolina,5808,11207,272361
13,38,ND,North Dakota,153,317,8354
13,39,OH,Ohio,2599,4826,138791
13,40,OK,Oklahoma,659,1349,33418
13,41,OR,Oregon,305,557,14178
13,42,PA,Pennsylvania,2229,4233,112848
13,44,RI,Rhode Island,209,381,10144
13,45,SC,South Carolina,5428,10368,226573
13,46,SD,South Dakota,126,235,6008
13,47,TN,Tennessee,5151,10001,232190
13,48,TX,Texas,10872,22498,414940
13,49,UT,Utah,313,665,14908
13,50,VT,Vermont,102,172,5028
13,51,VA,Virginia,3583,6868,186031
13,53,WA,Washington,1116,2285,58062
13,54,WV,West Virginia,327,641,13912
13,55,WI,Wisconsin,771,1477,42465
13,56,WY,Wyoming,138,283,41820
15,1,AL,Alabama,175,345,7418
15,2,AK,Alaska,303,628,13113
15,4,AZ,Arizona,588,1049,28465
15,5,AR,Arkansas,96,192,3035
15,6,CA,California,4508,7779,301849
15,8,CO,Colorado,618,1216,33076
15,9,CT,Connecticut,225,360,10761
15,10,DE,Delaware,38,71,1496
15,11,DC,District Of Columbia,59,94,4711
15,12,FL,Florida,1119,1921,50010
15,13,GA,Georgia,686,1466,29395
15,15,HI,HI Non-migrants,542461,1107755,0
15,16,ID,Idaho,172,319,9150
15,17,IL,Illinois,442,691,22920
15,18,IN,Indiana,170,319,23301
15,19,IA,Iowa,85,162,4670
15,20,KS,Kansas,181,429,7152
15,21,KY,Kentucky,229,547,7891
15,22,LA,Louisiana,147,272,6469
15,23,ME,Maine,76,136,4681
15,24,MD,Maryland,376,709,23466
15,25,MA,Massachusetts,260,401,15934
15,26,MI,Michigan,276,495,13273
15,27,MN,Minnesota,182,279,10897
15,28,MS,Mississippi,96,170,3485
15,29,MO,Missouri,292,611,12991
15,30,MT,Montana,87,170,6128
15,31,NE,Nebraska,74,127,2946
15,32,NV,Nevada,649,1150,28727
15,33,NH,New Hampshire,65,100,3008
15,34,NJ,New Jersey,266,432,14791
15,35,NM,New Mexico,144,261,7794
15,36,NY,New York,741,1247,31416
15,37,NC,North Carolina,601,1250,22495
15,38,ND,North Dakota,41,77,1703
15,39,OH,Ohio,292,506,10364
15,40,OK,Oklahoma,201,432,24304
15,41,OR,Oregon,549,922,23668
15,42,PA,Pennsylvania,336,589,18168
15,44,RI,Rhode Island,52,95,5072
15,45,SC,South Carolina,309,588,12902
15,46,SD,South Dakota,30,66,1426
15,47,TN,Tennessee,278,580,12809
15,48,TX,Texas,1533,3170,72764
15,49,UT,Utah,297,663,12908
15,50,VT,Vermont,19,32,797
15,51,VA,Virginia,720,1542,41508
15,53,WA,Washington,1350,2716,69385
15,54,WV,West Virginia,44,81,1406
15,55,WI,Wisconsin,167,278,7425
15,56,WY,Wyoming,44,85,2638
16,1,AL,Alabama,49,95,2383
16,2,AK,Alaska,335,647,21140
16,4,AZ,Arizona,801,1604,37278
16,5,AR,Arkansas,61,133,5094
16,6,CA,California,3253,6743,213209
16,8,CO,Colorado,631,1207,32062
16,9,CT,Connecticut,40,60,2365
16,10,DE,Delaware,-1,-1,0
16,11,DC,District Of Columbia,21,33,17226
16,12,FL,Florida,367,687,15603
16,13,GA,Georgia,148,331,8131
16,15,HI,Hawaii,162,311,5773
16,16,ID,ID Non-migrants,546985,1283315,0
16,17,IL,Illinois,191,363,10431
16,18,IN,Indiana,97,186,5219
16,19,IA,Iowa,99,178,3683
16,20,KS,Kansas,97,205,5914
16,21,KY,Kentucky,60,131,3148
16,22,LA,Louisiana,65,125,2854
16,23,ME,Maine,21,28,421
16,24,MD,Maryland,82,165,5351
16,25,MA,Massachusetts,65,111,3895
16,26,MI,Michigan,132,222,4240
16,27,MN,Minnesota,151,279,7230
16,28,MS,Mississippi,42,74,1336
16,29,MO,Missouri,157,288,6994
16,30,MT,Montana,653,1262,27629
16,31,NE,Nebraska,80,170,4164
16,32,NV,Nevada,808,1659,36404
16,33,NH,New Hampshire,38,58,1762
16,34,NJ,New Jersey,66,118,4948
16,35,NM,New Mexico,186,397,8878
16,36,NY,New York,186,316,11323
16,37,NC,North Carolina,201,416,8216
16,38,ND,North Dakota,290,565,16258
16,39,OH,Ohio,134,235,6752
16,40,OK,Oklahoma,101,202,3875
16,41,OR,Oregon,1472,2894,68881
16,42,PA,Pennsylvania,145,257,7678
16,44,RI,Rhode Island,-1,-1,0
16,45,SC,South Carolina,62,126,3151
16,46,SD,South Dakota,84,144,4356
16,47,TN,Tennessee,98,234,5830
16,48,TX,Texas,835,1777,48443
16,49,UT,Utah,1536,3481,65366
16,50,VT,Vermont,25,46,1299
16,51,VA,Virginia,187,345,11096
16,53,WA,Washington,2981,5594,133290
16,54,WV,West Virginia,34,68,2195
16,55,WI,Wisconsin,108,181,6312
16,56,WY,Wyoming,411,856,21203
17,1,AL,Alabama,561,1045,25851
17,2,AK,Alaska,213,376,11020
17,4,AZ,Arizona,1804,3066,103580
17,5,AR,Arkansas,607,1132,24461
17,6,CA,California,5405,9125,398651
17,8,CO,Colorado,1451,2370,85995
17,9,CT,Connecticut,510,813,48499
17,10,DE,Delaware,106,177,5805
17,11,DC,District Of Columbia,385,492,30501
17,12,FL,Florida,4659,7583,225795
17,13,GA,Georgia,1946,3584,105366
17,15,HI,Hawaii,297,496,13079
17,16,ID,Idaho,122,225,6591
17,17,IL,IL Non-migrants,4857323,10604004,0
17,18,IN,Indiana,6788,12317,295696
17,19,IA,Iowa,2978,5243,118963
17,20,KS,Kansas,656,1114,34462
17,21,KY,Kentucky,1098,1912,48796
17,22,LA,Louisiana,535,961,27299
17,23,ME,Maine,111,172,5314
17,24,MD,Maryland,798,1317,51246
